user_id,ave_qty
5.42711E+11,120
3.11359E+11,120
6.72247E+11,120
9.80832E+11,120
3.57085E+11,120
82202729114,120
6.96276E+11,120
3.15808E+11,120
3.26574E+11,120
8.38582E+11,119.6667
1.96454E+11,119
2.02893E+11,119
45275150251,119
7.00793E+11,119
4.15545E+11,119
5.94951E+11,119
84029799060,118
5.80138E+11,118
9.19264E+11,118
19415594133,118
4.5708E+11,118
8.53816E+11,118
8.57872E+11,118
3.33018E+11,117.6667
9.58303E+11,117.5
8.22711E+11,117
2.98982E+11,117
6.59104E+11,117
7.52918E+11,116.6667
9.43485E+11,116.5
6.54471E+11,116
1.14825E+11,116
5.90506E+11,116
27856241091,116
1.09476E+11,115.6667
7.77633E+11,115.3333
1.78008E+11,115.3333
47322924786,115.25
41739363499,115
5.25381E+11,115
9.77489E+11,115
4.03133E+11,115
1.23773E+11,115
89718250735,115
2.7202E+11,115
9.66736E+11,114
3.68051E+11,114
9.90529E+11,114
2.21985E+11,114
